bribe_title,name,transaction,amount,date,location,views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
Address Verification for Passport Application,,Verification and Certificates,"Paid INR 1,000",21-Nov-19,"Satara
                      , Maharashtra",163 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Paid bribe to police officer for passport verification,,Policies and Procedures,"Paid INR 2,000",21-Nov-19,"Ranchi
                      , Jharkhand",165 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
Conflict of interest.,,Commercial and Industrial,"Paid INR 68,000",21-Nov-19,"New Delhi
                      , Delhi",167 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Belgaum
                      , Karnataka",138 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",21-Nov-19,"Mangalore
                      , Karnataka",144 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",21-Nov-19,"Bangalore
                      , Karnataka",144 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
They are taking condonation over the limite,,Certificates,"Paid INR 10,000",20-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",185 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",20-Nov-19,"Belgaum
                      , Karnataka",191 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Fraud company,Others,Others,"Paid INR 2,200",19-Nov-19,"Gurgaon
                      , Haryana",246 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,,Certificates,Paid INR 500,19-Nov-19,"Punganur
                      , Andhra Pradesh",214 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
Bride for approving kidney transplantation,,Certificates,"Paid INR 5,000",18-Nov-19,"Hyderabad
                      , Telangana",213 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
License LLR,Others,Others,Paid INR 300,18-Nov-19,"Vijayawada
                      , Andhra Pradesh",229 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
Amount paid to obtain food license,,Food License,"Paid INR 4,000",18-Nov-19,"Bangalore
                      , Karnataka",217 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
